id,title,original_title,overview,tagline,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,poster_path,status,type,source,episodes,studios
269,Bleach,Bleach,TV Action Comedy Shounen Super Power Supernatural 366 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}, {""name"": ""Supernatural""}]",,624055,624055.0,7.95,0,,,ja,,TV,TV,,366.0,
226,Elfen Lied,Elfen Lied,TV Action Drama Horror Psychological Romance Seinen Supernatural 13 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Psychological""}, {""name"": ""Romance""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Psychological""}, {""name"": ""Romance""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]",,623511,623511.0,7.85,0,,,ja,,TV,TV,,13.0,
22319,Tokyo Ghoul,Tokyo Ghoul,TV Action Drama Horror Mystery Psychological Seinen Supernatural 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]",,618056,618056.0,8.07,0,,,ja,,TV,TV,,12.0,
19815,No Game No Life,No Game No Life,TV Adventure Comedy Ecchi Fantasy Game Supernatural 12 episodes,,"[{""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Ecchi""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Supernatural""}]","[{""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Ecchi""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Supernatural""}]",,602291,602291.0,8.47,0,,,ja,,TV,TV,,12.0,
121,Fullmetal Alchemist,Fullmetal Alchemist,TV Action Adventure Comedy Drama Fantasy Magic Military Shounen 51 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Military""}, {""name"": ""Shounen""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Military""}, {""name"": ""Shounen""}]",,600384,600384.0,8.33,0,,,ja,,TV,TV,,51.0,
6702,Fairy Tail,Fairy Tail,TV Action Adventure Comedy Fantasy Magic Shounen 175 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Shounen""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Shounen""}]",,584590,584590.0,8.22,0,,,ja,,TV,TV,,175.0,
9919,Ao no Exorcist,Ao no Exorcist,TV Action Demons Fantasy Shounen Supernatural 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]",,583823,583823.0,7.92,0,,,ja,,TV,TV,,25.0,
3588,Soul Eater,Soul Eater,TV Action Adventure Comedy Fantasy Shounen Supernatural 51 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]",,580184,580184.0,8.08,0,,,ja,,TV,TV,,51.0,
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Hangyaku no Lelouch R2,TV Action Drama Mecha Military Sci-Fi Super Power 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Mecha""}, {""name"": ""Military""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Mecha""}, {""name"": ""Military""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]",,572888,572888.0,8.98,0,,,ja,,TV,TV,,25.0,
2167,Clannad,Clannad,TV Comedy Drama Romance School Slice of Life Supernatural 23 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]",,566690,566690.0,8.3,0,,,ja,,TV,TV,,23.0,
2001,Tengen Toppa Gurren Lagann,Tengen Toppa Gurren Lagann,TV Action Adventure Comedy Mecha Sci-Fi 27 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Mecha""}, {""name"": ""Sci-Fi""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Mecha""}, {""name"": ""Sci-Fi""}]",,562962,562962.0,8.78,0,,,ja,,TV,TV,,27.0,
6746,Durarara!!,Durarara!!,TV Action Mystery Supernatural 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Supernatural""}]",,556431,556431.0,8.38,0,,,ja,,TV,TV,,24.0,
30276,One Punch Man,One Punch Man,TV Action Comedy Parody Sci-Fi Seinen Super Power Supernatural 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Parody""}, {""name"": ""Sci-Fi""}, {""name"": ""Seinen""}, {""name"": ""Super Power""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Parody""}, {""name"": ""Sci-Fi""}, {""name"": ""Seinen""}, {""name"": ""Super Power""}, {""name"": ""Supernatural""}]",,552458,552458.0,8.82,0,,,ja,,TV,TV,,12.0,
21881,Sword Art Online II,Sword Art Online II,TV Action Adventure Fantasy Game Romance 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Romance""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Romance""}]",,537892,537892.0,7.35,0,,,ja,,TV,TV,,24.0,
8074,Highschool of the Dead,Highschool of the Dead,TV Action Ecchi Horror Supernatural 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Ecchi""}, {""name"": ""Horror""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Ecchi""}, {""name"": ""Horror""}, {""name"": ""Supernatural""}]",,535892,535892.0,7.46,0,,,ja,,TV,TV,,12.0,
11111,Another,Another,TV Horror Mystery School Supernatural Thriller 12 episodes,,"[{""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""School""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]","[{""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""School""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]",,534657,534657.0,7.88,0,,,ja,,TV,TV,,12.0,
1735,Naruto: Shippuuden,Naruto: Shippuuden,TV Action Comedy Martial Arts Shounen Super Power,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Martial Arts""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Martial Arts""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]",,533578,533578.0,7.94,0,,,ja,,TV,TV,,,
20507,Noragami,Noragami,TV Action Adventure Shounen Supernatural 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]",,515378,515378.0,8.17,0,,,ja,,TV,TV,,12.0,
13601,Psycho-Pass,Psycho-Pass,TV Action Police Psychological Sci-Fi 22 episodes,,"[{""name"": ""Action""}, {""name"": ""Police""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}]","[{""name"": ""Action""}, {""name"": ""Police""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}]",,509109,509109.0,8.5,0,,,ja,,TV,TV,,22.0,
18679,Kill la Kill,Kill la Kill,TV Action Comedy School Super Power 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""School""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""School""}, {""name"": ""Super Power""}]",,508118,508118.0,8.23,0,,,ja,,TV,TV,,24.0,
21,One Piece,One Piece,TV Action Adventure Comedy Drama Fantasy Shounen Super Power,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]",,504862,504862.0,8.58,0,,,ja,,TV,TV,,,
22199,Akame ga Kill!,Akame ga Kill!,TV Action Adventure Fantasy 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}]",,492133,492133.0,7.84,0,,,ja,,TV,TV,,24.0,
1,Cowboy Bebop,Cowboy Bebop,TV Action Adventure Comedy Drama Sci-Fi Space 26 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Sci-Fi""}, {""name"": ""Space""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Sci-Fi""}, {""name"": ""Space""}]",,486824,486824.0,8.82,0,,,ja,,TV,TV,,26.0,
5081,Bakemonogatari,Bakemonogatari,TV Mystery Romance Supernatural Vampire 15 episodes,,"[{""name"": ""Mystery""}, {""name"": ""Romance""}, {""name"": ""Supernatural""}, {""name"": ""Vampire""}]","[{""name"": ""Mystery""}, {""name"": ""Romance""}, {""name"": ""Supernatural""}, {""name"": ""Vampire""}]",,482268,482268.0,8.39,0,,,ja,,TV,TV,,15.0,
199,Sen to Chihiro no Kamikakushi,Sen to Chihiro no Kamikakushi,Movie Adventure Drama Supernatural 1 episodes,,"[{""name"": ""Adventure""}, {""name"": ""Drama""}, {""name"": ""Supernatural""}]","[{""name"": ""Adventure""}, {""name"": ""Drama""}, {""name"": ""Supernatural""}]",,466254,466254.0,8.93,0,,,ja,,Movie,Movie,,1.0,
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV Drama Slice of Life Supernatural 11 episodes,,"[{""name"": ""Drama""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]","[{""name"": ""Drama""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]",,463835,463835.0,8.62,0,,,ja,,TV,TV,,11.0,
9756,Mahou Shoujo Madoka★Magica,Mahou Shoujo Madoka★Magica,TV Drama Magic Psychological Thriller 12 episodes,,"[{""name"": ""Drama""}, {""name"": ""Magic""}, {""name"": ""Psychological""}, {""name"": ""Thriller""}]","[{""name"": ""Drama""}, {""name"": ""Magic""}, {""name"": ""Psychological""}, {""name"": ""Thriller""}]",,462974,462974.0,8.51,0,,,ja,,TV,TV,,12.0,
30,Neon Genesis Evangelion,Neon Genesis Evangelion,TV Action Dementia Drama Mecha Psychological Sci-Fi 26 episodes,,"[{""name"": ""Action""}, {""name"": ""Dementia""}, {""name"": ""Drama""}, {""name"": ""Mecha""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}]","[{""name"": ""Action""}, {""name"": ""Dementia""}, {""name"": ""Drama""}, {""name"": ""Mecha""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}]",,461946,461946.0,8.32,0,,,ja,,TV,TV,,26.0,
10793,Guilty Crown,Guilty Crown,TV Action Drama Sci-Fi Super Power 22 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]",,460959,460959.0,7.81,0,,,ja,,TV,TV,,22.0,
4181,Clannad: After Story,Clannad: After Story,TV Drama Fantasy Romance Slice of Life Supernatural 24 episodes,,"[{""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Romance""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]","[{""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Romance""}, {""name"": ""Slice of Life""}, {""name"": ""Supernatural""}]",,456749,456749.0,9.06,0,,,ja,,TV,TV,,24.0,
10087,Fate/Zero,Fate/Zero,TV Action Fantasy Supernatural 13 episodes,,"[{""name"": ""Action""}, {""name"": ""Fantasy""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Fantasy""}, {""name"": ""Supernatural""}]",,453630,453630.0,8.51,0,,,ja,,TV,TV,,13.0,
6880,Deadman Wonderland,Deadman Wonderland,TV Action Horror Sci-Fi 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Horror""}, {""name"": ""Sci-Fi""}]","[{""name"": ""Action""}, {""name"": ""Horror""}, {""name"": ""Sci-Fi""}]",,453454,453454.0,7.48,0,,,ja,,TV,TV,,12.0,
2025,Darker than Black: Kuro no Keiyakusha,Darker than Black: Kuro no Keiyakusha,TV Action Mystery Sci-Fi Super Power 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]",,440334,440334.0,8.25,0,,,ja,,TV,TV,,25.0,
849,Suzumiya Haruhi no Yuuutsu,Suzumiya Haruhi no Yuuutsu,TV Comedy Mystery Parody School Sci-Fi Slice of Life 14 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Mystery""}, {""name"": ""Parody""}, {""name"": ""School""}, {""name"": ""Sci-Fi""}, {""name"": ""Slice of Life""}]","[{""name"": ""Comedy""}, {""name"": ""Mystery""}, {""name"": ""Parody""}, {""name"": ""School""}, {""name"": ""Sci-Fi""}, {""name"": ""Slice of Life""}]",,428569,428569.0,8.06,0,,,ja,,TV,TV,,14.0,
11061,Hunter x Hunter (2011),Hunter x Hunter (2011),TV Action Adventure Shounen Super Power 148 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]",,425855,425855.0,9.13,0,,,ja,,TV,TV,,148.0,
22535,Kiseijuu: Sei no Kakuritsu,Kiseijuu: Sei no Kakuritsu,TV Action Drama Horror Psychological Sci-Fi Seinen 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}, {""name"": ""Seinen""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Psychological""}, {""name"": ""Sci-Fi""}, {""name"": ""Seinen""}]",,425457,425457.0,8.59,0,,,ja,,TV,TV,,24.0,
4898,Kuroshitsuji,Kuroshitsuji,TV Action Comedy Demons Fantasy Historical Shounen Supernatural 24 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Historical""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Historical""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}]",,424919,424919.0,8.06,0,,,ja,,TV,TV,,24.0,
853,Ouran Koukou Host Club,Ouran Koukou Host Club,TV Comedy Harem Romance School Shoujo 26 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Harem""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shoujo""}]","[{""name"": ""Comedy""}, {""name"": ""Harem""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shoujo""}]",,422271,422271.0,8.39,0,,,ja,,TV,TV,,26.0,
23273,Shigatsu wa Kimi no Uso,Shigatsu wa Kimi no Uso,TV Drama Music Romance School Shounen 22 episodes,,"[{""name"": ""Drama""}, {""name"": ""Music""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shounen""}]","[{""name"": ""Drama""}, {""name"": ""Music""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shounen""}]",,416397,416397.0,8.92,0,,,ja,,TV,TV,,22.0,
15809,Hataraku Maou-sama!,Hataraku Maou-sama!,TV Comedy Demons Fantasy Romance Shounen 13 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Romance""}, {""name"": ""Shounen""}]","[{""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Fantasy""}, {""name"": ""Romance""}, {""name"": ""Shounen""}]",,409037,409037.0,8.03,0,,,ja,,TV,TV,,13.0,
27899,Tokyo Ghoul √A,Tokyo Ghoul √A,TV Action Drama Horror Mystery Psychological Seinen Supernatural 12 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]",,408357,408357.0,7.52,0,,,ja,,TV,TV,,12.0,
31043,Boku dake ga Inai Machi,Boku dake ga Inai Machi,TV Mystery Psychological Seinen Supernatural 12 episodes,,"[{""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]","[{""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Seinen""}, {""name"": ""Supernatural""}]",,402381,402381.0,8.65,0,,,ja,,TV,TV,,12.0,
11617,High School DxD,High School DxD,TV Comedy Demons Ecchi Harem Romance School 12 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Ecchi""}, {""name"": ""Harem""}, {""name"": ""Romance""}, {""name"": ""School""}]","[{""name"": ""Comedy""}, {""name"": ""Demons""}, {""name"": ""Ecchi""}, {""name"": ""Harem""}, {""name"": ""Romance""}, {""name"": ""School""}]",,398660,398660.0,7.7,0,,,ja,,TV,TV,,12.0,
14741,Chuunibyou demo Koi ga Shitai!,Chuunibyou demo Koi ga Shitai!,TV Comedy Drama Romance School Slice of Life 12 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]",,394399,394399.0,7.95,0,,,ja,,TV,TV,,12.0,
7054,Kaichou wa Maid-sama!,Kaichou wa Maid-sama!,TV Comedy Romance School Shoujo 26 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shoujo""}]","[{""name"": ""Comedy""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Shoujo""}]",,391628,391628.0,8.26,0,,,ja,,TV,TV,,26.0,
205,Samurai Champloo,Samurai Champloo,TV Action Adventure Comedy Historical Samurai Shounen 26 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Historical""}, {""name"": ""Samurai""}, {""name"": ""Shounen""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Comedy""}, {""name"": ""Historical""}, {""name"": ""Samurai""}, {""name"": ""Shounen""}]",,390076,390076.0,8.5,0,,,ja,,TV,TV,,26.0,
17265,Log Horizon,Log Horizon,TV Action Adventure Fantasy Game Magic Shounen 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Magic""}, {""name"": ""Shounen""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Magic""}, {""name"": ""Shounen""}]",,387100,387100.0,8.14,0,,,ja,,TV,TV,,25.0,
5680,K-On!,K-On!,TV Comedy Music School Slice of Life 13 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Music""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]","[{""name"": ""Comedy""}, {""name"": ""Music""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]",,386048,386048.0,7.87,0,,,ja,,TV,TV,,13.0,
28223,Death Parade,Death Parade,TV Drama Game Mystery Psychological Thriller 12 episodes,,"[{""name"": ""Drama""}, {""name"": ""Game""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Thriller""}]","[{""name"": ""Drama""}, {""name"": ""Game""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Thriller""}]",,383914,383914.0,8.33,0,,,ja,,TV,TV,,12.0,
13759,Sakurasou no Pet na Kanojo,Sakurasou no Pet na Kanojo,TV Comedy Drama Romance School Slice of Life 24 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]",,380375,380375.0,8.4,0,,,ja,,TV,TV,,24.0,
