anime_id,name,english_name,japanese_name,score,genres,primary_genre,type,episodes,aired,start_date,year,premiered,status,producers,licensors,studios,source,duration,duration_minutes,rating,rank,popularity,favorites,scored_by,members
7857,Mini Sengoku Basara: Chousokabe-kun to Mouri-kun,UNKNOWN,ミニ戦国BASARA　長曾我部君と毛利君,6.7,Comedy,Comedy,Special,7,"Jul 1, 2009 to Jan 6, 2010",2009-07-01,2009.0,UNKNOWN,Finished Airing,UNKNOWN,Funimation,Production I.G,Unknown,6 min per ep,6.0,PG-13 - Teens 13 or older,5313.0,7852,5,2177.0,5268
17573,Uchuu Kyoudai: Itten no Hikari,UNKNOWN,プラネタリウム 宇宙兄弟 ～一点のひかり～,6.52,"Comedy, Sci-Fi, Slice of Life",Comedy,Movie,1,"Jul 21, 2012",2012-07-21,2012.0,UNKNOWN,Finished Airing,Digital Media Lab,UNKNOWN,A-1 Pictures,Original,38 min,38.0,PG-13 - Teens 13 or older,6254.0,7802,2,1687.0,5347
10313,Dallos Special,UNKNOWN,ダロス Special,5.33,Sci-Fi,Sci-Fi,OVA,1,"May 8, 1985",1985-05-08,1985.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Pierrot,Original,1 hr 29 min,89.0,PG-13 - Teens 13 or older,11269.0,12520,0,317.0,1034
13421,Wheels,UNKNOWN,WHEELS,4.46,Comedy,Comedy,Special,1,2000,2000-01-01,2000.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,3 min,3.0,G - All Ages,12494.0,13702,0,392.0,724
3553,Reyon Densetsu Flair,Legend of Lyon Flare,リヨン伝説フレア,4.95,"Action, Fantasy, Hentai",Action,OVA,2,"Jul 14, 1986 to Apr 21, 1990",1986-07-14,1986.0,UNKNOWN,Finished Airing,AIC,SoftCel Pictures,Kusama Art,Unknown,28 min per ep,28.0,Rx - Hentai,12702.0,11098,3,568.0,1713
2723,D4 Princess,UNKNOWN,D4 プリンセス,6.12,"Action, Comedy, Sci-Fi",Action,TV,24,"Apr 6, 1999 to Sep 28, 1999",1999-04-06,1999.0,spring 1999,Finished Airing,Pony Canyon,UNKNOWN,Daume,Manga,8 min per ep,8.0,PG-13 - Teens 13 or older,8256.0,9301,2,928.0,3183
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2,100万の命の上に俺は立っている,6.81,"Drama, Fantasy",Drama,TV,12,"Jul 10, 2021 to Sep 25, 2021",2021-07-10,2021.0,summer 2021,Finished Airing,Warner Bros. Japan,UNKNOWN,Maho Film,Manga,23 min per ep,23.0,PG-13 - Teens 13 or older,4787.0,1439,615,69004.0,149182
42822,Kai Byoui Ramune,Dr. Ramune -Mysterious Disease Specialist-,怪病医ラムネ,7.16,"Mystery, Supernatural",Mystery,TV,12,"Jan 10, 2021 to Mar 28, 2021",2021-01-10,2021.0,winter 2021,Finished Airing,"Kodansha, KlockWorx, King Records, Crunchyroll, Muse Communication",UNKNOWN,Platinum Vision,Manga,23 min per ep,23.0,PG-13 - Teens 13 or older,3243.0,2461,302,29189.0,68064
1080,Sentou Yousei Yukikaze,Yukikaze,戦闘妖精雪風,7.2,"Action, Award Winning, Drama, Sci-Fi, Suspense",Action,OVA,5,"Aug 25, 2002 to Aug 26, 2005",2002-08-25,2002.0,UNKNOWN,Finished Airing,Bandai Visual,Bandai Entertainment,Gonzo,Novel,37 min per ep,37.0,PG-13 - Teens 13 or older,3048.0,4728,177,6525.0,18613
50474,Saihate no Paladin: Michiyuki,The Faraway Paladin: Michiyuki,最果てのパラディン「道行」,5.65,"Action, Adventure, Fantasy",Action,Special,1,"Nov 27, 2021",2021-11-27,2021.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Children's Playground Entertainment,Light novel,23 min,23.0,PG-13 - Teens 13 or older,10264.0,5930,39,4403.0,10516
3888,Toumei Ningen (OVA),The Invisible Stud,透明人間,6.54,Hentai,Hentai,OVA,2,"Feb 10, 2006 to May 12, 2006",2006-02-10,2006.0,UNKNOWN,Finished Airing,Digital Works,Critical Mass Video,Y.O.U.C,Original,27 min per ep,27.0,Rx - Hentai,12702.0,6218,26,4220.0,9355
27927,Urawa no Usagi-chan,UNKNOWN,浦和の調ちゃん,5.37,Comedy,Comedy,TV,12,"Apr 10, 2015 to Jun 26, 2015",2015-04-10,2015.0,spring 2015,Finished Airing,"Grooove, Glovision, Harappa",UNKNOWN,A-Real,Original,3 min per ep,3.0,PG - Children,11177.0,4895,8,6286.0,17015
49357,Star Wars: Visions,Star Wars: Visions,スター・ウォーズ：ビジョンズ,7.11,"Action, Adventure, Sci-Fi",Action,ONA,9,"Sep 22, 2021",2021-09-22,2021.0,UNKNOWN,Finished Airing,Twin Engine,UNKNOWN,"Production I.G, Kinema Citrus, Kamikaze Douga, Trigger, Studio Colorido, Geno Studio, Science SARU",Other,15 min per ep,15.0,PG-13 - Teens 13 or older,3510.0,2131,380,45978.0,86083
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,5.55,"Adventure, Comedy, Fantasy, Ecchi",Adventure,TV,12,"Jul 13, 2019 to Sep 28, 2019",2019-07-13,2019.0,summer 2019,Finished Airing,"Aniplex, Toranoana, Tokyo MX, Q-Tec, BS11, Contents Seed, Kadokawa, KLab",Aniplex of America,J.C.Staff,Light novel,23 min per ep,23.0,R+ - Mild Nudity,10627.0,826,461,119584.0,271866
30705,Makura no Danshi,makuranodanshi,枕男子（まくらのだんし）,4.46,Slice of Life,Slice of Life,TV,12,"Jul 14, 2015 to Sep 29, 2015",2015-07-14,2015.0,summer 2015,Finished Airing,Earth Star Entertainment,UNKNOWN,"feel., Assez Finaud Fabric",Original,4 min per ep,4.0,PG-13 - Teens 13 or older,12491.0,3218,56,21342.0,41476
47638,A.A,UNKNOWN,A.A,5.14,Avant Garde,Avant Garde,Music,1,"Oct 27, 2010",2010-10-27,2010.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,9 min,9.0,G - All Ages,12702.0,18402,0,109.0,228
30443,Kana Kana Kazoku: Shinnen no Goaisatsu,UNKNOWN,かなかなかぞく　新年のごあいさつ,4.94,Comedy,Comedy,ONA,1,"Jan 7, 2015",2015-01-07,2015.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,DLE,Unknown,50 sec,0.83,G - All Ages,12046.0,16164,0,121.0,379
23101,Kuraibito,With the Date,喰ヒ人,6.01,Hentai,Hentai,OVA,1,"Jun 27, 2014",2014-06-27,2014.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,PoRO,Visual novel,30 min,30.0,Rx - Hentai,12702.0,7097,5,2644.0,6708
39056,Mirai Koushi Harima SACLA NEX RAY,UNKNOWN,未来光子 播磨サクラ NEX RAY（ネクスレイ）,5.53,Sci-Fi,Sci-Fi,ONA,1,"Oct 12, 2017",2017-10-12,2017.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Kamikaze Douga,Original,2 min,2.0,G - All Ages,10663.0,14096,0,290.0,630
3661,Joker: Marginal City,UNKNOWN,JOKER マージナル・シティ,5.18,"Action, Romance, Sci-Fi",Action,OVA,1,"Apr 21, 1992",1992-04-21,1992.0,UNKNOWN,Finished Airing,BEAM Entertainment,UNKNOWN,Studio Sign,Manga,36 min,36.0,R - 17+ (violence & profanity),11631.0,11114,1,662.0,1704
34863,Zoku Touken Ranbu: Hanamaru,Touken Ranbu: Hanamaru 2,続 刀剣乱舞-花丸-,7.3,"Action, Comedy, Drama, Fantasy, Slice of Life",Action,TV,12,"Jan 8, 2018 to Mar 26, 2018",2018-01-08,2018.0,winter 2018,Finished Airing,"Marvelous, Nitroplus, TOHO animation, Good Smile Company, DMM.com",Funimation,Doga Kobo,Game,24 min per ep,24.0,PG-13 - Teens 13 or older,2525.0,3898,139,7851.0,28486
2246,Mononoke,Mononoke,モノノ怪,8.43,"Fantasy, Horror, Mystery, Supernatural",Fantasy,TV,12,"Jul 13, 2007 to Sep 28, 2007",2007-07-13,2007.0,summer 2007,Finished Airing,"Dentsu, SKY Perfect Well Think, Fuji TV, Asmik Ace, Sony Music Entertainment","Discotek Media, Flatiron Film Company",Toei Animation,Original,22 min per ep,22.0,R - 17+ (violence & profanity),157.0,716,7775,87479.0,309241
10845,Manyuu Hikenchou Specials,UNKNOWN,魔乳秘剣帖 美乳鍛錬法・乳研ぎ,6.14,"Action, Ecchi",Action,Special,8,"Oct 4, 2011 to Jan 7, 2012",2011-10-04,2011.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Hoods Entertainment,Manga,3 min per ep,3.0,R+ - Mild Nudity,8176.0,5058,42,6043.0,15500
26303,Cello Hiki no Gauche (OVA),UNKNOWN,セロひきのゴーシュ,5.8,"Drama, Fantasy",Drama,OVA,1,1998,1998-01-01,1998.0,UNKNOWN,Finished Airing,Gakken,UNKNOWN,UNKNOWN,Unknown,20 min,20.0,G - All Ages,9700.0,14769,0,145.0,521
162,Pita Ten,Pita-Ten,ぴたテン,6.93,"Comedy, Fantasy, Romance",Comedy,TV,26,"Apr 7, 2002 to Sep 29, 2002",2002-04-07,2002.0,spring 2002,Finished Airing,Broccoli,Nozomi Entertainment,Madhouse,Manga,24 min per ep,24.0,G - All Ages,4278.0,4280,85,10455.0,23271
10581,Kidou Senshi Gundam 0083: Stardust Memory - Uchuu no Kagerou,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,機動戦士ガンダム 0083 スターダストメモリー 宇宙の蜉蝣,5.93,"Action, Drama, Sci-Fi",Action,Special,1,1992,1992-01-01,1992.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Sunrise,Radio,3 min,3.0,PG-13 - Teens 13 or older,9149.0,7112,3,2864.0,6687
29363,Watashi no Ashinaga Ojisan Specials,UNKNOWN,世界名作劇場・完結版 私のあしながおじさん,6.18,"Comedy, Romance, Slice of Life",Comedy,Special,2,May 2001,2001-05-01,2001.0,UNKNOWN,Finished Airing,Bandai Visual,UNKNOWN,Nippon Animation,Novel,45 min per ep,45.0,G - All Ages,7998.0,13992,0,135.0,655
29861,Channel 5.5 3rd Season Prologue,UNKNOWN,チャンネル5.5 Season3 プロローグ「そしてのだめカンタービレへ」,5.17,Comedy,Comedy,ONA,1,Jul 2014,2014-07-01,2014.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,DLE,Unknown,3 min,3.0,PG-13 - Teens 13 or older,11651.0,14508,0,143.0,561
1922,Urusei Yatsura Movie 3: Remember My Love,UNKNOWN,うる星やつら リメンバー・マイ・ラヴ,6.93,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Action,Movie,1,"Jan 26, 1985",1985-01-26,1985.0,UNKNOWN,Finished Airing,Kitty Films,"AnimEigo, Discotek Media",Studio Deen,Manga,1 hr 35 min,95.0,PG-13 - Teens 13 or older,4294.0,6583,9,3384.0,8100
2118,Captain Tsubasa: Europe Daikessen,UNKNOWN,キャプテン翼　ヨーロッパ大決戦,6.84,Sports,Sports,Movie,1,"Jul 13, 1985",1985-07-13,1985.0,UNKNOWN,Finished Airing,Group TAC,UNKNOWN,Tsuchida Productions,Unknown,42 min,42.0,G - All Ages,4645.0,7428,2,3020.0,5997
41035,Melty Land Nightmare,Melty Land Nightmare,メルティランドナイトメア / はるまきごはん feat.初音ミク,6.46,UNKNOWN,,Music,1,"Feb 16, 2018",2018-02-16,2018.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Studio Gohan,Original,4 min,4.0,G - All Ages,12702.0,13705,1,408.0,723
12143,Swing Out Sisters,UNKNOWN,スウィング アウト シスターズ,7.23,Hentai,Hentai,OVA,1,"Nov 25, 2011",2011-11-25,2011.0,UNKNOWN,Finished Airing,BreakBottle,UNKNOWN,Tryforce,Manga,30 min,30.0,Rx - Hentai,12702.0,4993,63,6664.0,16150
38349,Wotaku ni Koi wa Muzukashii OVA,Wotakoi: Love is Hard for Otaku OVA,ヲタクに恋は難しい OAD,7.94,Romance,Romance,OVA,3,"Mar 29, 2019 to Oct 14, 2021",2019-03-29,2019.0,UNKNOWN,Finished Airing,"Aniplex, Half H.P Studio, Fujipacific Music",UNKNOWN,"A-1 Pictures, Lapin Track",Web manga,23 min per ep,23.0,PG-13 - Teens 13 or older,655.0,1143,471,96076.0,193612
6978,Kyoufu Densetsu Kaiki! Frankenstein,The Monster Of Frankenstein,恐怖伝説　怪奇！フランケンシュタイン,5.52,"Drama, Horror, Sci-Fi",Drama,Special,1,"Jul 27, 1981",1981-07-27,1981.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Novel,1 hr 29 min,89.0,R - 17+ (violence & profanity),10712.0,10904,3,664.0,1854
4003,Dream Hunter Rem,UNKNOWN,DREAM HUNTER 麗夢,6.3,"Action, Fantasy, Mystery, Ecchi",Action,OVA,4,"Dec 15, 1985 to Feb 25, 1987",1985-12-15,1985.0,UNKNOWN,Finished Airing,Project Team Eikyuu Kikan,UNKNOWN,Anime R,Original,40 min per ep,40.0,R - 17+ (violence & profanity),7381.0,6540,19,2027.0,8215
40921,Urashimasakatasen no Nichijou Special,UNKNOWN,浦島坂田船の日常,6.07,Comedy,Comedy,Special,1,"Feb 26, 2020",2020-02-26,2020.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Gainax Kyoto,Music,4 min,4.0,PG-13 - Teens 13 or older,8526.0,13184,1,213.0,845
2622,Big Wars: Kami Utsu Akaki Kouya ni,Big Wars,ビッグ・ウォーズ 神撃つ朱き荒野に,5.41,"Action, Sci-Fi",Action,OVA,1,"Sep 25, 1993",1993-09-25,1993.0,UNKNOWN,Finished Airing,Tokuma Japan,Central Park Media,Magic Bus,Novel,1 hr 11 min,71.0,R+ - Mild Nudity,11057.0,9502,5,1374.0,2968
31108,Green Dakara x Bakemono no Ko,UNKNOWN,GREEN DA・KA・RA×バケモノの子,5.37,UNKNOWN,,ONA,2,"Jun 24, 2015 to Jul 11, 2015",2015-06-24,2015.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Studio Chizu,Other,15 sec per ep,0.25,G - All Ages,11153.0,8591,6,1654.0,4093
9922,Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,We Without Wings – Under the Innocent Sky,俺たちに翼はない -under the innocent sky.,6.65,"Comedy, Drama, Romance, Ecchi",Comedy,TV,12,"Apr 4, 2011 to Jun 20, 2011",2011-04-04,2011.0,spring 2011,Finished Airing,"Lantis, Delfi Sound, Marvelous AQL, Studio Jack",Funimation,Nomad,Visual novel,24 min per ep,24.0,R+ - Mild Nudity,5603.0,2127,172,32802.0,86403
38610,Tejina-senpai,Magical Sempai,手品先輩,6.41,"Comedy, Ecchi",Comedy,TV,12,"Jul 2, 2019 to Sep 17, 2019",2019-07-02,2019.0,summer 2019,Finished Airing,"Nihon Ad Systems, Kodansha, KlockWorx, flying DOG, Avex Pictures, Q-Tec, Docomo Anime Store, GYAO!, BS NTV, Marui Group",UNKNOWN,LIDENFILMS,Manga,12 min per ep,12.0,PG-13 - Teens 13 or older,6798.0,842,456,123652.0,265320
13673,Otome Nadeshiko Koi Techou,UNKNOWN,乙女なでしこ恋手帖,5.85,UNKNOWN,,OVA,1,"Jan 26, 2012",2012-01-26,2012.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Studio Izena,Light novel,10 min,10.0,G - All Ages,9500.0,7914,2,2512.0,5165
40786,Skate-Leading☆Stars,Skate-Leading Stars,スケートリーディング☆スターズ,6.45,Sports,Sports,TV,12,"Jan 10, 2021 to Mar 28, 2021",2021-01-10,2021.0,winter 2021,Finished Airing,UNKNOWN,Funimation,J.C.Staff,Original,23 min per ep,23.0,PG-13 - Teens 13 or older,6633.0,3296,148,12263.0,39941
21729,Cardfight!! Vanguard: Legion Mate-hen,Cardfight!! Vanguard Legion Mate,カードファイト!! ヴァンガード レギオンメイト編,6.73,Action,Action,TV,33,"Mar 9, 2014 to Oct 19, 2014",2014-03-09,2014.0,spring 2014,Finished Airing,"Dentsu, Sotsu, Bushiroad",UNKNOWN,TMS Entertainment,Original,24 min per ep,24.0,PG-13 - Teens 13 or older,5192.0,5048,36,7856.0,15563
51561,Dilemma,Dilemma,ジレンマ,6.58,UNKNOWN,,Music,1,"Mar 9, 2022",2022-03-09,2022.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,OTOIRO,Original,2 min,2.0,PG-13 - Teens 13 or older,12702.0,14731,5,255.0,527
3391,Maicching Machiko-sensei,Miss Machiko,まいっちんぐマチコ先生,6.19,"Comedy, Ecchi",Comedy,TV,95,"Oct 8, 1981 to Oct 6, 1983",1981-10-08,1981.0,fall 1981,Finished Airing,TV Tokyo,Discotek Media,Pierrot,Manga,25 min per ep,25.0,R+ - Mild Nudity,7912.0,8807,10,671.0,3765
32521,Super Mario World: Mario to Yoshi no Bouken Land,UNKNOWN,スーパーマリオワールド マリオとヨッシーの冒険ランド,5.12,Comedy,Comedy,OVA,1,1991,1991-01-01,1991.0,UNKNOWN,Finished Airing,Bandai,UNKNOWN,UNKNOWN,Game,27 min,27.0,G - All Ages,11756.0,11326,5,784.0,1571
34836,Future Card Buddyfight Battsu,Future Card Buddyfight X,フューチャーカード バディファイトX,6.52,UNKNOWN,,TV,52,"Apr 1, 2017 to Mar 31, 2018",2017-04-01,2017.0,spring 2017,Finished Airing,"Dentsu, Bushiroad, TV Aichi",UNKNOWN,"Xebec, OLM",Card game,23 min per ep,23.0,PG - Children,6280.0,8530,10,1910.0,4203
38981,"Mini Toji: Kanami-Mihono no ""Toji Miko Taidou-hen"" 205-byou de Shoukai Tokuban!",Katana Maidens ~ Mini Toji – Katana Maidens Quickening Arc 205-Second Introduction Special!,みにとじ 可奈美・美炎の「とじみこ 胎動編」205秒で紹介特番!,5.44,Action,Action,Special,1,"Jan 6, 2019",2019-01-06,2019.0,UNKNOWN,Finished Airing,"Square Enix, Genco, Mainichi Broadcasting System, AT-X, Studio Gokumi, Glovision, Crunchyroll, Kadokawa, My Theater D.D.",UNKNOWN,Project No.9,Original,3 min,3.0,G - All Ages,10957.0,10891,3,804.0,1861
12031,Kingdom,Kingdom,キングダム,7.93,Action,Action,TV,38,"Jun 4, 2012 to Feb 25, 2013",2012-06-04,2012.0,summer 2012,Finished Airing,"NHK, Sogo Vision",Funimation,Pierrot,Manga,25 min per ep,25.0,R - 17+ (violence & profanity),674.0,1096,1663,70192.0,204262
41025,Fumetsu no Anata e,To Your Eternity,不滅のあなたへ,8.36,"Adventure, Drama, Supernatural",Adventure,TV,20,"Apr 12, 2021 to Aug 30, 2021",2021-04-12,2021.0,spring 2021,Finished Airing,"NHK, Kodansha, NHK Enterprises",UNKNOWN,Brain's Base,Manga,25 min per ep,25.0,R - 17+ (violence & profanity),200.0,202,13654,338013.0,812354
49978,Candy Caries,Candy Caries,Candy Caries,5.57,Fantasy,Fantasy,ONA,1,"Mar 21, 2021",2021-03-21,2021.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Wit Studio,Original,1 min,1.0,PG-13 - Teens 13 or older,10547.0,14298,1,311.0,597
30446,Akazukin to Kenkou,Little Red Riding Hood and Health,赤ずきんと健康,5.24,Comedy,Comedy,OVA,1,2007,2007-01-01,2007.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,5 min,5.0,PG-13 - Teens 13 or older,11491.0,14882,2,242.0,506
1909,Kusatta Kyoushi no Houteishiki,Bad Teacher Equation,腐った教師の方程式,5.98,"Boys Love, Comedy, Romance",Boys Love,OVA,2,"Nov 25, 1994 to Nov 24, 1995",1994-11-25,1994.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,J.C.Staff,Manga,28 min per ep,28.0,PG-13 - Teens 13 or older,8913.0,7971,11,2087.0,5062
15611,Cardfight!! Vanguard: Link Joker-hen,Cardfight!! Vanguard Link Joker,カードファイト!! ヴァンガード リンクジョーカー編,7.13,Action,Action,TV,59,"Jan 13, 2013 to Mar 2, 2014",2013-01-13,2013.0,winter 2013,Finished Airing,"TV Tokyo, Dentsu, Sotsu, Bushiroad",UNKNOWN,TMS Entertainment,Original,24 min per ep,24.0,PG-13 - Teens 13 or older,3385.0,4368,83,11714.0,22143
23519,Enbi,UNKNOWN,艶美,6.42,Hentai,Hentai,OVA,2,"May 2, 2014 to Sep 5, 2014",2014-05-02,2014.0,UNKNOWN,Finished Airing,"MS Pictures, AniMan",UNKNOWN,Studio 9 Maiami,Manga,16 min per ep,16.0,Rx - Hentai,12702.0,8007,31,2147.0,5017
2170,Sousei no Aquarion OVA,UNKNOWN,ＯＶＡ『創星のアクエリオン』,7.04,"Action, Romance, Sci-Fi, Supernatural",Action,OVA,2,"May 25, 2007 to Nov 22, 2007",2007-05-25,2007.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Satelight,Original,54 min per ep,54.0,R+ - Mild Nudity,3824.0,5875,9,4307.0,10699
48791,Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,The Legend of Luoxiaohei: The Gate of All Living Beings,罗小黑战记 众生之门,7.04,"Comedy, Supernatural",Comedy,ONA,12,"Apr 24, 2021 to Jul 17, 2021",2021-04-24,2021.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,HMCH,Original,8 min per ep,8.0,PG-13 - Teens 13 or older,3804.0,11846,8,451.0,1302
8332,Kudan,UNKNOWN,クダン,6.13,"Award Winning, Fantasy",Award Winning,Movie,1,2008,2008-01-01,2008.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,9 min,9.0,PG - Children,8189.0,16046,0,184.0,388
18953,Hitotsubu ni Kawaranu Ai wo Komete,UNKNOWN,一粒に変わらぬ愛をこめて,5.91,Slice of Life,Slice of Life,ONA,1,"Jun 1, 2013",2013-06-01,2013.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Studio 4°C,Unknown,2 min,2.0,G - All Ages,9235.0,9742,2,1375.0,2707
5209,Manin Densha,UNKNOWN,満淫電車,6.21,Hentai,Hentai,OVA,3,"May 27, 2005 to Apr 24, 2009",2005-05-27,2005.0,UNKNOWN,Finished Airing,Himajin Planning,UNKNOWN,Suzuki Mirano,Visual novel,27 min per ep,27.0,Rx - Hentai,12702.0,7031,20,2204.0,6877
36894,Inazma Delivery: Dougyousha Attack-hen,UNKNOWN,イナズマデリバリー 同業者アタック編,6.26,"Action, Comedy, Sci-Fi",Action,TV,10,"Dec 8, 2017 to Mar 2, 2018",2017-12-08,2017.0,winter 2018,Finished Airing,UNKNOWN,UNKNOWN,Kanaban Graphics,Original,2 min per ep,2.0,PG-13 - Teens 13 or older,7586.0,13331,2,275.0,810
38104,Mahou Shoujo Site Recaps,UNKNOWN,魔法少女サイト ダイジェストPV,6.21,"Drama, Horror, Supernatural",Drama,Special,2,"May 10, 2018 to Jun 13, 2018",2018-05-10,2018.0,UNKNOWN,Finished Airing,Avex Pictures,UNKNOWN,production doA,Manga,16 min per ep,16.0,R - 17+ (violence & profanity),7830.0,7902,7,1290.0,5187
