id,title,budget,revenue,runtime,popularity,release_date,original_language,status,genres
34836,Future Card Buddyfight X,52,4203,23.0,10.0,2017-04-01,ja,TV,UNKNOWN
38981,Katana Maidens ~ Mini Toji – Katana Maidens Quickening Arc 205-Second Introduction Special!,1,1861,3.0,3.0,2019-01-06,ja,Special,Action
12031,Kingdom,38,204262,25.0,1663.0,2012-06-04,ja,TV,Action
41025,To Your Eternity,20,812354,25.0,13654.0,2021-04-12,ja,TV,"Adventure, Drama, Supernatural"
49978,Candy Caries,1,597,1.0,1.0,2021-03-21,ja,ONA,Fantasy
30446,Little Red Riding Hood and Health,1,506,5.0,2.0,2007-01-01,ja,OVA,Comedy
1909,Bad Teacher Equation,2,5062,28.0,11.0,1994-11-25,ja,OVA,"Boys Love, Comedy, Romance"
15611,Cardfight!! Vanguard Link Joker,59,22143,24.0,83.0,2013-01-13,ja,TV,Action
23519,Enbi,2,5017,16.0,31.0,2014-05-02,ja,OVA,Hentai
2170,Sousei no Aquarion OVA,2,10699,54.0,9.0,2007-05-25,ja,OVA,"Action, Romance, Sci-Fi, Supernatural"
48791,The Legend of Luoxiaohei: The Gate of All Living Beings,12,1302,8.0,8.0,2021-04-24,ja,ONA,"Comedy, Supernatural"
8332,Kudan,1,388,9.0,0.0,2008-01-01,ja,Movie,"Award Winning, Fantasy"
18953,Hitotsubu ni Kawaranu Ai wo Komete,1,2707,2.0,2.0,2013-06-01,ja,ONA,Slice of Life
5209,Manin Densha,3,6877,27.0,20.0,2005-05-27,ja,OVA,Hentai
36894,Inazma Delivery: Dougyousha Attack-hen,10,810,2.0,2.0,2017-12-08,ja,TV,"Action, Comedy, Sci-Fi"
38104,Mahou Shoujo Site Recaps,2,5187,16.0,7.0,2018-05-10,ja,Special,"Drama, Horror, Supernatural"
39172,Clear Weather,1,362,4.0,0.0,2017-08-31,ja,Music,UNKNOWN
49913,Cinderella Nine: The Story Continues,1,1590,23.0,5.0,2021-09-25,ja,Special,Sports
45604,Bottom-Tier Character Tomozaki Specials,2,40869,13.0,74.0,2021-05-07,ja,Special,"Drama, Romance"
3713,Hell Girl: Three Vessels,26,100427,24.0,273.0,2008-10-04,ja,TV,"Mystery, Supernatural"
6311,Sarutobi Ecchan,26,1042,25.0,0.0,1971-10-04,ja,TV,Comedy
3839,Himitsu no Akko-chan 3,44,1059,24.0,0.0,1998-04-05,ja,TV,UNKNOWN
9361,Molly Star-Racer,1,1782,2.0,4.0,2001-01-01,ja,Music,UNKNOWN
27951,"Mattsu, Yamma and Moburi - The Naval Treasure and Riddle Island",1,547,13.0,0.0,2014-10-23,ja,ONA,Fantasy
6402,Bakunyuu Maid Kari,2,5293,29.0,25.0,2009-04-24,ja,OVA,Hentai
8655,Bijukubo,2,8146,27.0,32.0,2010-07-09,ja,OVA,Hentai
6067,The Burning Wild Man,24,1609,24.0,15.0,1988-03-14,ja,TV,"Action, Adventure, Comedy"
34447,Masou Gakuen HxH Specials,6,36050,4.0,56.0,2016-09-30,ja,Special,Ecchi
16067,A Lull in the Sea,26,585254,23.0,9372.0,2013-10-03,ja,TV,"Drama, Fantasy, Romance"
40064,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future,1,54069,24.0,57.0,2019-07-06,ja,Special,"Action, Adventure, Fantasy"
24365,Tonari no Seki-kun Specials,2,31833,13.0,11.0,2014-05-28,ja,Special,Comedy
591,Ah My Buddha,12,73399,24.0,81.0,2005-07-01,ja,TV,"Comedy, Romance, Supernatural, Ecchi"
37368,Shounen Ashibe: Go! Go! Goma-chan 3,32,783,9.0,2.0,2018-04-03,ja,TV,"Comedy, Slice of Life"
2164,Den-noh Coil,26,143009,25.0,1620.0,2007-05-12,ja,TV,"Adventure, Award Winning, Drama, Mystery, Sci-Fi"
2744,Potemayo,12,16457,24.0,64.0,2007-07-07,ja,TV,Comedy
9716,Rurouni Kenshin: Review Special,1,6114,26.0,3.0,1997-03-26,ja,Special,"Action, Comedy"
37484,Duel Masters!,51,1379,24.0,2.0,2018-04-01,ja,TV,"Action, Adventure, Comedy, Fantasy"
40554,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",1,3770,120.0,12.0,2021-06-11,ja,Movie,"Action, Drama, Sci-Fi"
28735,Showa Genroku Rakugo Shinju,13,281445,26.0,5711.0,2016-01-09,ja,TV,Drama
212,Project A-Ko,1,19646,83.0,123.0,1986-06-21,ja,Movie,"Action, Adventure, Comedy, Sci-Fi"
2569,The Jungle Book,52,7108,25.0,27.0,1989-10-09,ja,TV,"Adventure, Drama"
4070,Black Jack: Dr. Pinoco's Adventure,1,2318,7.0,1.0,2005-12-17,ja,Movie,Comedy
9781,Hyouga Senshi Gaislugger,20,810,30.0,0.0,1977-04-12,ja,TV,"Action, Sci-Fi"
50602,Spy x Family Part 2,13,766479,24.0,6913.0,2022-10-01,ja,TV,"Action, Comedy"
11227,Lagrange: The Flower of Rin-ne,12,70196,23.0,144.0,2012-01-08,ja,TV,"Action, Comedy, Sci-Fi"
40902,Food Wars! The Fifth Plate,13,500718,23.0,1303.0,2020-04-11,ja,TV,"Gourmet, Ecchi"
3890,Battle Team Lakers EX,1,1585,28.0,3.0,1996-05-21,ja,OVA,"Sci-Fi, Hentai"
53880,One Piece: The Planetarium,1,871,30.0,1.0,2013-07-13,ja,Movie,"Adventure, Comedy, Fantasy"
12121,Towa no Kizuna,1,4568,3.0,4.0,2011-10-19,ja,Music,UNKNOWN
37735,Calamity of the Zombie Girl,1,13752,79.0,14.0,2018-07-04,ja,ONA,"Action, Horror, Supernatural, Suspense"
2577,The Adventures of Tom Sawyer,49,8618,25.0,62.0,1980-01-06,ja,TV,"Adventure, Drama, Slice of Life"
38361,Tales of Crestoria,4,1823,1.0,2.0,2018-09-11,ja,ONA,Fantasy
37058,Sword Dynasty 2,12,773,13.0,1.0,2017-10-12,ja,ONA,Action
13519,Organic,1,443,4.0,0.0,2009-10-21,ja,ONA,Comedy
40117,Yichang Shengwu Jianwenlu Specials,13,729,1.0,0.0,2019-06-28,ja,ONA,Comedy
39181,Shiroi Niji,1,252,4.0,0.0,2014-04-01,ja,Music,Avant Garde
30264,Hello Kitty in Cinderella,1,664,15.0,1.0,2001-11-23,ja,OVA,Fantasy
13089,The Flower and the Mole,1,590,15.0,0.0,1970-01-01,ja,Movie,"Award Winning, Comedy"
2717,The Galaxy Railways II,24,4018,24.0,4.0,2006-10-05,ja,TV,"Action, Adventure, Drama, Sci-Fi"
16742,"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!",12,631605,24.0,5412.0,2013-07-09,ja,TV,Comedy
53273,JoJo's Bizarre Adventure: Stone Ocean Part 3,14,149413,24.0,2447.0,2022-12-01,ja,ONA,"Action, Adventure, Supernatural"
2137,Insatiable,2,5417,28.0,26.0,2005-12-25,ja,OVA,Hentai
5484,Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou,12,3336,2.0,0.0,2008-07-25,ja,Special,"Adventure, Comedy, Fantasy, Supernatural"
39569,Her Blue Sky,1,108172,106.0,366.0,2019-10-11,ja,Movie,"Drama, Romance, Supernatural"
28297,My Love Story!!,24,646011,22.0,4927.0,2015-04-09,ja,TV,"Comedy, Romance"
33877,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,1,624,20.0,0.0,2006-04-02,ja,Special,Comedy
42996,It's So Good Now,1,203,1.0,1.0,2005-01-01,ja,Music,Comedy
29687,Duel Masters VSR,51,1323,24.0,1.0,2015-04-05,ja,TV,"Action, Adventure, Comedy, Fantasy"
10813,Alps no Shoujo Heidi Pilot,1,1189,5.0,1.0,1967-01-01,ja,Special,"Comedy, Drama"
17733,Dibetagurashi: Ahiru no Seikatsu,39,984,3.0,1.0,2013-04-07,ja,TV,"Comedy, Slice of Life"
21195,Soul Eater: Late Night Show,51,26776,1.0,37.0,2008-04-01,ja,Special,"Action, Comedy, Fantasy"
1996,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,1,9679,10.0,16.0,2002-11-01,ja,Special,"Comedy, Fantasy, Supernatural"
44259,Next Color Planet,1,404,4.0,4.0,2020-03-22,ja,Music,UNKNOWN
41852,Teienu Theater in Kobe Opening,1,521,0.7,2.0,2010-07-24,ja,Special,UNKNOWN
31163,Dimension W,12,292061,24.0,823.0,2016-01-10,ja,TV,"Action, Sci-Fi"
23439,Passage of Time: Tokyo Station,1,5052,5.0,4.0,2014-06-24,ja,ONA,Slice of Life
33783,Godzilla: Planet of the Monsters,1,60328,87.0,64.0,2017-11-17,ja,Movie,"Action, Adventure, Sci-Fi"
34122,Minna de Bokumetsu Inshu Unten,1,283,0.5,0.0,2013-01-01,ja,Special,Drama
29703,Raunchy Role Play,1,6074,25.0,8.0,2015-04-24,ja,OVA,Hentai
517,School Rumble: Extra Class,2,58378,25.0,106.0,2005-12-22,ja,OVA,"Comedy, Romance"
49529,Beelzebuz,1,294,4.0,2.0,2020-10-07,ja,Music,UNKNOWN
2312,"Bagi, the Monster of Mighty Nature",1,3242,90.0,14.0,1984-08-19,ja,Movie,"Action, Romance, Sci-Fi"
3541,Co-eD Affairs,1,1417,28.0,0.0,1998-11-19,ja,OVA,Hentai
50501,The Legend of Sword Domain,40,1361,10.0,16.0,2021-11-28,ja,ONA,"Action, Adventure, Fantasy"
4026,Pokémon: Giratina and the Sky Warrior,1,88178,96.0,30.0,2008-07-19,ja,Movie,"Action, Adventure, Fantasy"
42250,Bungou Stray Dogs Wan!,12,106241,11.0,1009.0,2021-01-13,ja,TV,"Comedy, Supernatural"
50398,Everlasting God Of Sword,38,1239,11.0,4.0,2021-10-30,ja,ONA,"Action, Fantasy, Supernatural"
15439,This Boy Caught A Merman,1,38201,29.0,159.0,2012-11-09,ja,OVA,"Boys Love, Fantasy"
17831,Dog & Scissors,12,144705,24.0,277.0,2013-07-02,ja,TV,"Comedy, Supernatural"
10934,Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,1,20189,24.0,4.0,2011-12-05,ja,OVA,"Comedy, Romance, Supernatural, Ecchi"
38017,ANNA (kidnapper),1,1644,26.0,0.0,2018-07-21,ja,Movie,"Action, Adventure, Romance"
39456,Are You Lost?,12,152274,12.0,231.0,2019-07-02,ja,TV,"Adventure, Comedy"
49527,Princess♂,1,290,2.0,0.0,2019-10-11,ja,Music,UNKNOWN
7106,Golden Warrior: The Gold Lightan,52,1223,25.0,1.0,1981-03-01,ja,TV,"Action, Adventure, Sci-Fi"
49510,"Tantei wa Mou, Shindeiru. Mini Anime",5,1139,2.0,2.0,2021-05-21,ja,ONA,Comedy
34100,Fate/kaleid liner Prisma Illya: Vow in the Snow,1,92027,89.0,371.0,2017-08-26,ja,Movie,"Action, Fantasy"
39187,Daisy Blue,1,352,4.0,0.0,2017-12-20,ja,Music,UNKNOWN
35610,Adventure Without a Map,1,481,5.0,0.0,2017-05-19,ja,ONA,Slice of Life
9884,Osomatsu-kun,56,3580,25.0,14.0,1966-02-05,ja,TV,Comedy
40044,Doraemon the Movie 2020: Nobita's New Dinosaur,1,3846,110.0,10.0,2020-08-07,ja,Movie,"Adventure, Comedy, Sci-Fi"
48862,Cardfight!! Vanguard: overDress Season 2,13,6720,24.0,41.0,2021-10-05,ja,TV,"Action, Drama"
33190,Planetarian: Storyteller of the Stars,1,46395,117.0,204.0,2016-09-03,ja,Movie,"Drama, Sci-Fi"
40351,Pokémon Journeys: The Series,136,81747,23.0,648.0,2019-11-17,ja,TV,"Action, Adventure, Comedy, Fantasy"
42829,Boukyaku Battery,1,2356,20.0,11.0,2020-10-11,ja,ONA,Sports
37153,Warai Kawasemi ni Hanasu na yo,1,240,2.0,0.0,1962-12-05,ja,Music,UNKNOWN
50207,Fanren Xiu Xian Chuan 2nd Season,51,2314,19.0,28.0,2021-11-14,ja,ONA,"Action, Adventure, Fantasy"
21395,Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back,1,5608,96.0,14.0,2014-04-19,ja,Movie,"Award Winning, Comedy, Sci-Fi"
8632,A Sumo Wrestler's Tail,1,2538,13.0,3.0,2010-01-03,ja,Movie,"Comedy, Sports"
41466,The Titan's Bride,9,31298,6.0,145.0,2020-07-06,ja,ONA,"Boys Love, Fantasy, Erotica"
18041,Rozen Maiden: Zurückspulen,13,76328,24.0,226.0,2013-07-05,ja,TV,"Action, Comedy, Drama"
40529,No Guns Life Season 2,12,76610,23.0,78.0,2020-07-10,ja,TV,"Action, Drama, Sci-Fi"
29772,Calm,1,1761,7.0,7.0,2007-01-01,ja,Movie,Avant Garde
32953,Koi ni Naritai Aquarium,1,8763,7.0,25.0,2016-04-27,ja,Music,UNKNOWN
34394,Yuuki Yuuna wa Yuushabu Shozoku,1,4939,7.0,5.0,2017-03-18,ja,Movie,"Comedy, Fantasy, Slice of Life"
37424,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 3rd Season,7,3708,1.0,3.0,2018-07-03,ja,ONA,"Comedy, Slice of Life"
41309,Hand in Hand,1,392,5.0,1.0,2015-07-07,ja,Music,UNKNOWN
38539,Sora ni Rakugaki,1,366,4.0,1.0,2018-07-22,ja,Music,Fantasy
8231,Princess Lover!: Magical Knight Maria-chan,6,10321,0.5,2.0,2009-10-23,ja,Special,UNKNOWN
30095,Color Old Master Q,1,505,80.0,1.0,1981-07-16,ja,Movie,"Action, Comedy"
49320,Detective Conan: The Bride of Halloween,1,12240,110.0,92.0,2022-04-15,ja,Movie,Mystery
33846,Garo: Guren no Tsuki - Yurugaro,21,1191,2.0,1.0,2016-07-06,ja,Special,"Comedy, Fantasy"
1020,Mirage of Blaze: Rebels of the River Edge,3,10578,30.0,27.0,2004-07-28,ja,OVA,"Action, Boys Love, Drama, Romance, Supernatural"
1912,Marginal Prince: Gekkeiju no Ouji-tachi,13,14018,24.0,17.0,2006-10-02,ja,TV,"Boys Love, Romance"
53365,Untitled World,1,513,1.0,1.0,2020-07-01,ja,Music,"Action, Sci-Fi"
14661,Kindan no Byoutou The Animation,2,5322,27.0,10.0,2012-09-28,ja,OVA,Hentai
5118,The Melancholy of Haruhi-chan Suzumiya,25,97533,3.0,336.0,2009-02-14,ja,ONA,Comedy
9211,Scold with Dirty Words,1,3277,17.0,5.0,2010-07-07,ja,OVA,Hentai
20857,Nebula feat. Hatsune Miku,1,2075,4.0,1.0,2009-02-03,ja,Music,UNKNOWN
42899,My Little Goat,1,1344,10.0,4.0,2018-01-01,ja,Movie,"Drama, Horror"
3147,Daigo of Fire Company,1,1450,45.0,2.0,1999-07-27,ja,Movie,"Action, Drama"
39606,UzaMaid! My Maid Is Still Seriously Way Too Annoying...,1,18216,24.0,3.0,2019-04-24,ja,Special,"Comedy, Girls Love"
37976,Zombie Land Saga,12,470781,23.0,3063.0,2018-10-04,ja,TV,"Award Winning, Comedy, Supernatural"
2409,Gokudo,26,15131,23.0,134.0,1999-04-02,ja,TV,"Adventure, Comedy, Fantasy"
1402,Princess Memory,2,1703,26.0,3.0,2001-06-25,ja,OVA,"Fantasy, Hentai"
2851,Ninkuu (Movie),1,1770,26.0,1.0,1995-07-15,ja,Movie,"Action, Adventure, Comedy"
916,Tokko,13,44875,24.0,101.0,2006-04-16,ja,TV,"Action, Comedy, Horror, Mystery, Supernatural"
29863,Anata wo Zutto Aishiteru,1,1447,82.0,2.0,2015-06-06,ja,Movie,"Adventure, Fantasy"
10909,Ultraman Kids: M7.8 Sei no Yukai na Nakama,1,641,25.0,0.0,1984-03-17,ja,Movie,UNKNOWN
38501,Catalyst,1,291,4.0,0.0,2015-12-20,ja,Music,Avant Garde
34338,Lost Song,12,45963,23.0,177.0,2018-04-08,ja,TV,"Drama, Fantasy"
5220,Shangri-La,24,58566,23.0,128.0,2009-04-06,ja,TV,"Action, Drama, Sci-Fi"
5088,Dr. Fabre is a Detective,26,893,25.0,2.0,2000-04-11,ja,TV,Mystery
3568,Ganbarist! Shun,30,3480,26.0,13.0,1996-07-01,ja,TV,"Comedy, Sports"
6566,It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,1,4259,3.0,10.0,2008-07-30,ja,Special,"Comedy, Sci-Fi"
3175,Undersea Super Train: Marine Express,1,1542,91.0,3.0,1979-08-26,ja,Special,"Action, Adventure, Comedy, Drama, Sci-Fi"
6836,Tiny Chibisuke's Big Adventure,1,1171,9.0,0.0,1935-05-08,ja,Movie,Action
49739,Snickers x Attack on Titan,2,3569,0.5,14.0,2019-10-01,ja,Special,Comedy
28401,Q Transformers: Kaette Kita Convoy no Nazo,13,1174,5.0,1.0,2015-01-06,ja,TV,Slice of Life
35224,Mobile Suit Gundam: Twilight Axis,6,11154,3.0,9.0,2017-06-23,ja,ONA,"Action, Sci-Fi"
33191,Thus Spoke Kishibe Rohan,4,141071,23.0,403.0,2017-09-20,ja,OVA,"Action, Mystery, Supernatural"
43711,Juunenbun no Watashi e,1,1338,1.0,0.0,2020-10-25,ja,ONA,Drama
5234,Zettai Yareru Greece Shinwa,13,770,24.0,0.0,2008-10-04,ja,TV,"Comedy, Ecchi"
35400,Kamishibai Kintaro,1,559,7.0,0.0,1934-01-01,ja,Movie,Fantasy
36418,Koneko no Chi: Ponponra Dairyokou,25,2455,12.0,1.0,2018-04-08,ja,TV,Slice of Life
2029,The Sea Prince and the Fire Child,1,5427,107.0,17.0,1981-07-18,ja,Movie,"Drama, Fantasy, Romance"
50006,Mabashii DNA dake,1,310,3.0,0.0,2019-02-04,ja,Music,UNKNOWN
36799,Kyoto Animation Koushiki Twitter: Itsumo Arigatou,1,1002,0.4,0.0,2016-03-17,ja,ONA,Slice of Life
7230,Hoshi ni Negai wo: Cold Body + Warm Heart,1,2133,22.0,1.0,2009-06-01,ja,ONA,"Adventure, Sci-Fi"
11687,Pussycat,1,5261,5.0,2.0,2008-12-08,ja,ONA,"Fantasy, Horror"
4252,Explorer Woman Ray,2,1669,30.0,1.0,1989-05-26,ja,OVA,"Action, Adventure"
23299,Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,1,7083,23.0,0.0,2014-03-27,ja,Special,"Action, Adventure, Comedy, Fantasy"
1135,Munto 2: Beyond the Walls of Time,1,12075,60.0,12.0,2005-04-29,ja,OVA,"Action, Fantasy"
29105,Aruite Mikka!,1,612,2.0,0.0,1999-12-01,ja,Music,Comedy
20913,6♥Princess,1,4364,3.0,2.0,2013-10-04,ja,Music,UNKNOWN
12951,AWOL,12,1386,24.0,2.0,1998-01-07,ja,TV,"Action, Sci-Fi"
33902,Suntory Minami Alps no Tennensui,3,14437,0.3,20.0,2016-08-09,ja,Special,Slice of Life
11659,Pink: Water Thieves Rain Thieves,1,1766,30.0,0.0,1990-07-07,ja,Movie,"Action, Comedy, Fantasy"
34292,Kamigami no Ki,16,1081,2.0,2.0,2016-11-25,ja,TV,"Comedy, Supernatural"
11635,Sacred Seven: Wings of the Silver Moon,1,6470,59.0,3.0,2012-01-07,ja,Movie,"Action, Sci-Fi"
2144,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,1,202638,94.0,162.0,2006-08-05,ja,Movie,"Action, Adventure, Fantasy"
30089,Life of the Dead,4,442,17.0,2.0,2011-07-26,ja,ONA,"Comedy, Horror"
42209,The Westward: Goodbye Wu Kong,1,861,65.0,2.0,2020-05-04,ja,ONA,"Action, Adventure, Fantasy"
40745,Sushi,1,372,2.0,0.0,2011-01-01,ja,Movie,Avant Garde
34096,Gintama Season 5,12,297857,24.0,2644.0,2017-01-09,ja,TV,"Action, Comedy, Sci-Fi"
5583,Sonic: Night of the WereHog,1,8527,11.0,21.0,2008-11-01,ja,ONA,Action
8667,Koi Hanabi,1,581,4.0,0.0,2002-08-02,ja,Music,Fantasy
1179,Shingu: Secret of the Stellar Wars,26,7238,25.0,24.0,2001-05-08,ja,TV,"Action, Adventure, Sci-Fi, Supernatural"
8503,Fushigi Mahou Fun Fun Pharmacy,48,3252,12.0,29.0,1998-02-15,ja,TV,UNKNOWN
23369,Bakuman. 2nd Season Special,1,15559,4.0,12.0,2012-09-26,ja,Special,Comedy
18053,Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,1,10574,23.0,3.0,2012-09-26,ja,Special,"Drama, Romance"
30074,Symphonic Variations,1,405,2.0,0.0,1976-06-07,ja,Music,UNKNOWN
41312,By the Grace of the Gods,12,193406,23.0,978.0,2020-10-04,ja,TV,"Fantasy, Slice of Life"
36593,Hug tto! Precure,49,15547,24.0,255.0,2018-02-04,ja,TV,"Action, Fantasy"
2727,Sweet Valerian,18,3277,3.0,2.0,2004-08-01,ja,TV,"Action, Comedy"
43683,My Hero Academia: Heroes Rising - Epilogue Plus,1,44485,9.0,99.0,2020-07-15,ja,Special,Comedy
3461,Ellcia,4,2508,41.0,0.0,1992-10-23,ja,OVA,"Adventure, Fantasy"
3932,Magnerobo Ga-Keen,39,1256,24.0,0.0,1976-09-05,ja,TV,"Action, Sci-Fi"
44070,Heaven Official's Blessing Special,1,39477,22.0,401.0,2021-02-16,ja,ONA,"Drama, Supernatural"
33746,Anime de Training! Xx,12,15061,4.0,10.0,2016-10-05,ja,TV,"Comedy, Sports"
1603,Super Robot Wars The Original Generation: The Divine Wars,25,7815,24.0,15.0,2006-10-05,ja,TV,"Action, Sci-Fi"
